,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id29,29,20,317284,387848,-71.06918334960938,42.35651431705787,-71.06884002685547,42.356260612393896
id30,30,20,317284,387849,-71.06918334960938,42.356260612393896,-71.06884002685547,42.35600690670569
id31,31,20,317284,387850,-71.06918334960938,42.35600690670569,-71.06884002685547,42.35575319999323
id32,32,20,317284,387851,-71.06918334960938,42.35575319999323,-71.06884002685547,42.35549949225654
id33,33,20,317284,387852,-71.06918334960938,42.35549949225654,-71.06884002685547,42.35524578349561
id34,34,20,317284,387853,-71.06918334960938,42.35524578349561,-71.06884002685547,42.35499207371046
id35,35,20,317284,387854,-71.06918334960938,42.35499207371046,-71.06884002685547,42.35473836290107
id36,36,20,317284,387855,-71.06918334960938,42.35473836290107,-71.06884002685547,42.35448465106745
id37,37,20,317284,387856,-71.06918334960938,42.35448465106745,-71.06884002685547,42.3542309382096
id38,38,20,317284,387857,-71.06918334960938,42.3542309382096,-71.06884002685547,42.35397722432751
id39,39,20,317284,387858,-71.06918334960938,42.35397722432751,-71.06884002685547,42.353723509421194
id40,40,20,317284,387859,-71.06918334960938,42.353723509421194,-71.06884002685547,42.353469793490646
id41,41,20,317284,387860,-71.06918334960938,42.353469793490646,-71.06884002685547,42.35321607653588
id42,42,20,317284,387861,-71.06918334960938,42.35321607653588,-71.06884002685547,42.35296235855688
id43,43,20,317284,387862,-71.06918334960938,42.35296235855688,-71.06884002685547,42.352708639553654
id44,44,20,317284,387863,-71.06918334960938,42.352708639553654,-71.06884002685547,42.3524549195262
id45,45,20,317284,387864,-71.06918334960938,42.3524549195262,-71.06884002685547,42.352201198474525
id46,46,20,317284,387865,-71.06918334960938,42.352201198474525,-71.06884002685547,42.35194747639863
id47,47,20,317284,387866,-71.06918334960938,42.35194747639863,-71.06884002685547,42.351693753298505
id48,48,20,317285,387843,-71.06884002685547,42.357782825014176,-71.06849670410156,42.3575291254714
id49,49,20,317285,387844,-71.06884002685547,42.3575291254714,-71.06849670410156,42.35727542490438
id50,50,20,317285,387845,-71.06884002685547,42.35727542490438,-71.06849670410156,42.35702172331312
id51,51,20,317285,387846,-71.06884002685547,42.35702172331312,-71.06849670410156,42.356768020697615
id52,52,20,317285,387847,-71.06884002685547,42.356768020697615,-71.06849670410156,42.35651431705787
id53,53,20,317285,387848,-71.06884002685547,42.35651431705787,-71.06849670410156,42.356260612393896
id54,54,20,317285,387849,-71.06884002685547,42.356260612393896,-71.06849670410156,42.35600690670569
id55,55,20,317285,387850,-71.06884002685547,42.35600690670569,-71.06849670410156,42.35575319999323
id56,56,20,317285,387851,-71.06884002685547,42.35575319999323,-71.06849670410156,42.35549949225654
id57,57,20,317285,387852,-71.06884002685547,42.35549949225654,-71.06849670410156,42.35524578349561
id58,58,20,317285,387853,-71.06884002685547,42.35524578349561,-71.06849670410156,42.35499207371046
id59,59,20,317285,387854,-71.06884002685547,42.35499207371046,-71.06849670410156,42.35473836290107
id60,60,20,317285,387855,-71.06884002685547,42.35473836290107,-71.06849670410156,42.35448465106745
id61,61,20,317285,387856,-71.06884002685547,42.35448465106745,-71.06849670410156,42.3542309382096
id62,62,20,317285,387857,-71.06884002685547,42.3542309382096,-71.06849670410156,42.35397722432751
id63,63,20,317285,387858,-71.06884002685547,42.35397722432751,-71.06849670410156,42.353723509421194
id64,64,20,317285,387859,-71.06884002685547,42.353723509421194,-71.06849670410156,42.353469793490646
id65,65,20,317285,387860,-71.06884002685547,42.353469793490646,-71.06849670410156,42.35321607653588
id66,66,20,317285,387861,-71.06884002685547,42.35321607653588,-71.06849670410156,42.35296235855688
id67,67,20,317285,387862,-71.06884002685547,42.35296235855688,-71.06849670410156,42.352708639553654
id68,68,20,317285,387863,-71.06884002685547,42.352708639553654,-71.06849670410156,42.3524549195262
id69,69,20,317285,387864,-71.06884002685547,42.3524549195262,-71.06849670410156,42.352201198474525
id70,70,20,317285,387865,-71.06884002685547,42.352201198474525,-71.06849670410156,42.35194747639863
id71,71,20,317285,387866,-71.06884002685547,42.35194747639863,-71.06849670410156,42.351693753298505
id72,72,20,317286,387843,-71.06849670410156,42.357782825014176,-71.06815338134766,42.3575291254714
id73,73,20,317286,387844,-71.06849670410156,42.3575291254714,-71.06815338134766,42.35727542490438
id74,74,20,317286,387845,-71.06849670410156,42.35727542490438,-71.06815338134766,42.35702172331312
id75,75,20,317286,387846,-71.06849670410156,42.35702172331312,-71.06815338134766,42.356768020697615
id76,76,20,317286,387847,-71.06849670410156,42.356768020697615,-71.06815338134766,42.35651431705787
id77,77,20,317286,387848,-71.06849670410156,42.35651431705787,-71.06815338134766,42.356260612393896
id78,78,20,317286,387849,-71.06849670410156,42.356260612393896,-71.06815338134766,42.35600690670569
id79,79,20,317286,387850,-71.06849670410156,42.35600690670569,-71.06815338134766,42.35575319999323
id80,80,20,317286,387851,-71.06849670410156,42.35575319999323,-71.06815338134766,42.35549949225654
id81,81,20,317286,387852,-71.06849670410156,42.35549949225654,-71.06815338134766,42.35524578349561
id82,82,20,317286,387853,-71.06849670410156,42.35524578349561,-71.06815338134766,42.35499207371046
id83,83,20,317286,387854,-71.06849670410156,42.35499207371046,-71.06815338134766,42.35473836290107
id84,84,20,317286,387855,-71.06849670410156,42.35473836290107,-71.06815338134766,42.35448465106745
id85,85,20,317286,387856,-71.06849670410156,42.35448465106745,-71.06815338134766,42.3542309382096
id86,86,20,317286,387857,-71.06849670410156,42.3542309382096,-71.06815338134766,42.35397722432751
