,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id55,55,20,317142,387778,-71.11793518066406,42.374271098256514,-71.11759185791016,42.37401746529124
id56,56,20,317142,387779,-71.11793518066406,42.37401746529124,-71.11759185791016,42.37376383130166
id57,57,20,317142,387780,-71.11793518066406,42.37376383130166,-71.11759185791016,42.37351019628779
id58,58,20,317142,387781,-71.11793518066406,42.37351019628779,-71.11759185791016,42.37325656024962
id59,59,20,317142,387782,-71.11793518066406,42.37325656024962,-71.11759185791016,42.373002923187165
id60,60,20,317142,387783,-71.11793518066406,42.373002923187165,-71.11759185791016,42.37274928510041
id61,61,20,317142,387784,-71.11793518066406,42.37274928510041,-71.11759185791016,42.37249564598936
id62,62,20,317142,387785,-71.11793518066406,42.37249564598936,-71.11759185791016,42.37224200585402
id63,63,20,317142,387786,-71.11793518066406,42.37224200585402,-71.11759185791016,42.3719883646944
id64,64,20,317143,387771,-71.11759185791016,42.376046500333125,-71.11724853515625,42.375792874537936
id65,65,20,317143,387772,-71.11759185791016,42.375792874537936,-71.11724853515625,42.37553924771845
id66,66,20,317143,387773,-71.11759185791016,42.37553924771845,-71.11724853515625,42.37528561987466
id67,67,20,317143,387774,-71.11759185791016,42.37528561987466,-71.11724853515625,42.37503199100657
id68,68,20,317143,387775,-71.11759185791016,42.37503199100657,-71.11724853515625,42.37477836111418
id69,69,20,317143,387776,-71.11759185791016,42.37477836111418,-71.11724853515625,42.3745247301975
id70,70,20,317143,387777,-71.11759185791016,42.3745247301975,-71.11724853515625,42.374271098256514
id71,71,20,317143,387778,-71.11759185791016,42.374271098256514,-71.11724853515625,42.37401746529124
id72,72,20,317143,387779,-71.11759185791016,42.37401746529124,-71.11724853515625,42.37376383130166
id73,73,20,317143,387780,-71.11759185791016,42.37376383130166,-71.11724853515625,42.37351019628779
id74,74,20,317143,387781,-71.11759185791016,42.37351019628779,-71.11724853515625,42.37325656024962
id75,75,20,317143,387782,-71.11759185791016,42.37325656024962,-71.11724853515625,42.373002923187165
id76,76,20,317143,387783,-71.11759185791016,42.373002923187165,-71.11724853515625,42.37274928510041
id77,77,20,317143,387784,-71.11759185791016,42.37274928510041,-71.11724853515625,42.37249564598936
id78,78,20,317143,387785,-71.11759185791016,42.37249564598936,-71.11724853515625,42.37224200585402
id79,79,20,317143,387786,-71.11759185791016,42.37224200585402,-71.11724853515625,42.3719883646944
id80,80,20,317144,387771,-71.11724853515625,42.376046500333125,-71.11690521240234,42.375792874537936
id81,81,20,317144,387772,-71.11724853515625,42.375792874537936,-71.11690521240234,42.37553924771845
id82,82,20,317144,387773,-71.11724853515625,42.37553924771845,-71.11690521240234,42.37528561987466
id83,83,20,317144,387774,-71.11724853515625,42.37528561987466,-71.11690521240234,42.37503199100657
id84,84,20,317144,387775,-71.11724853515625,42.37503199100657,-71.11690521240234,42.37477836111418
id85,85,20,317144,387776,-71.11724853515625,42.37477836111418,-71.11690521240234,42.3745247301975
id86,86,20,317144,387777,-71.11724853515625,42.3745247301975,-71.11690521240234,42.374271098256514
