,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id129,129,20,317283,387851,-71.06952667236328,42.35575319999323,-71.06918334960938,42.35549949225654
id130,130,20,317283,387852,-71.06952667236328,42.35549949225654,-71.06918334960938,42.35524578349561
id131,131,20,317283,387853,-71.06952667236328,42.35524578349561,-71.06918334960938,42.35499207371046
id132,132,20,317283,387854,-71.06952667236328,42.35499207371046,-71.06918334960938,42.35473836290107
id133,133,20,317283,387855,-71.06952667236328,42.35473836290107,-71.06918334960938,42.35448465106745
id134,134,20,317283,387856,-71.06952667236328,42.35448465106745,-71.06918334960938,42.3542309382096
id135,135,20,317283,387857,-71.06952667236328,42.3542309382096,-71.06918334960938,42.35397722432751
id136,136,20,317283,387858,-71.06952667236328,42.35397722432751,-71.06918334960938,42.353723509421194
id137,137,20,317283,387859,-71.06952667236328,42.353723509421194,-71.06918334960938,42.353469793490646
id138,138,20,317283,387860,-71.06952667236328,42.353469793490646,-71.06918334960938,42.35321607653588
id139,139,20,317283,387861,-71.06952667236328,42.35321607653588,-71.06918334960938,42.35296235855688
id140,140,20,317283,387862,-71.06952667236328,42.35296235855688,-71.06918334960938,42.352708639553654
id141,141,20,317283,387863,-71.06952667236328,42.352708639553654,-71.06918334960938,42.3524549195262
id142,142,20,317283,387864,-71.06952667236328,42.3524549195262,-71.06918334960938,42.352201198474525
id143,143,20,317283,387865,-71.06952667236328,42.352201198474525,-71.06918334960938,42.35194747639863
id144,144,20,317284,387850,-71.06918334960938,42.35600690670569,-71.06884002685547,42.35575319999323
id145,145,20,317284,387851,-71.06918334960938,42.35575319999323,-71.06884002685547,42.35549949225654
id146,146,20,317284,387852,-71.06918334960938,42.35549949225654,-71.06884002685547,42.35524578349561
id147,147,20,317284,387853,-71.06918334960938,42.35524578349561,-71.06884002685547,42.35499207371046
id148,148,20,317284,387854,-71.06918334960938,42.35499207371046,-71.06884002685547,42.35473836290107
id149,149,20,317284,387855,-71.06918334960938,42.35473836290107,-71.06884002685547,42.35448465106745
id150,150,20,317284,387856,-71.06918334960938,42.35448465106745,-71.06884002685547,42.3542309382096
id151,151,20,317284,387857,-71.06918334960938,42.3542309382096,-71.06884002685547,42.35397722432751
id152,152,20,317284,387858,-71.06918334960938,42.35397722432751,-71.06884002685547,42.353723509421194
id153,153,20,317284,387859,-71.06918334960938,42.353723509421194,-71.06884002685547,42.353469793490646
id154,154,20,317284,387860,-71.06918334960938,42.353469793490646,-71.06884002685547,42.35321607653588
id155,155,20,317284,387861,-71.06918334960938,42.35321607653588,-71.06884002685547,42.35296235855688
id156,156,20,317284,387862,-71.06918334960938,42.35296235855688,-71.06884002685547,42.352708639553654
id157,157,20,317284,387863,-71.06918334960938,42.352708639553654,-71.06884002685547,42.3524549195262
id158,158,20,317284,387864,-71.06918334960938,42.3524549195262,-71.06884002685547,42.352201198474525
id159,159,20,317284,387865,-71.06918334960938,42.352201198474525,-71.06884002685547,42.35194747639863
id160,160,20,317285,387850,-71.06884002685547,42.35600690670569,-71.06849670410156,42.35575319999323
id161,161,20,317285,387851,-71.06884002685547,42.35575319999323,-71.06849670410156,42.35549949225654
id162,162,20,317285,387852,-71.06884002685547,42.35549949225654,-71.06849670410156,42.35524578349561
id163,163,20,317285,387853,-71.06884002685547,42.35524578349561,-71.06849670410156,42.35499207371046
id164,164,20,317285,387854,-71.06884002685547,42.35499207371046,-71.06849670410156,42.35473836290107
id165,165,20,317285,387855,-71.06884002685547,42.35473836290107,-71.06849670410156,42.35448465106745
id166,166,20,317285,387856,-71.06884002685547,42.35448465106745,-71.06849670410156,42.3542309382096
id167,167,20,317285,387857,-71.06884002685547,42.3542309382096,-71.06849670410156,42.35397722432751
id168,168,20,317285,387858,-71.06884002685547,42.35397722432751,-71.06849670410156,42.353723509421194
id169,169,20,317285,387859,-71.06884002685547,42.353723509421194,-71.06849670410156,42.353469793490646
id170,170,20,317285,387860,-71.06884002685547,42.353469793490646,-71.06849670410156,42.35321607653588
id171,171,20,317285,387861,-71.06884002685547,42.35321607653588,-71.06849670410156,42.35296235855688
